Sentence,M,T,Cycle,Temperature,Spin Speed,Soil Level,Options,Time,Note
use delicates cycle to wash my silk blouse.,"[[['use'], ['delicate', 'cycle']], [['wash'], ['silk', 'blouse']], [['delicate', 'cycle'], []], [['silk', 'blouse'], []]]",[],delicates,warm,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash my chiffon in delicate mode,"[[['wash'], ['chiffon']], [['delicate'], ['mode']], [['wash'], ['delicate', 'mode', 'chiffon']]]",[],delicates,warm,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash my cotton dress. use tap water and do wrinkle release. make sure not to be noisy and lock all the controls.,"[[['wash'], ['cotton', 'dress']], [['use'], ['tap', 'water']], [['do'], ['wrinkle', 'release']], [['lock'], ['control']], [['cotton', 'dress'], []], [['tap', 'water'], []], [['wrinkle', 'release'], []], [['not'], ['noisy']], [['be'], ['noisy']]]",[],delicates,tap cold,medium,medium,"[False, False, True, True, True]",Start at 03:27 am,[]
wash delicately. spin in low speed. use light soil level.,"[[['use'], ['soil', 'level']], [['soil', 'level'], ['light']], [['delicately'], ['wash']], [['low'], ['speed']], [['light'], ['level']]]",[],delicates,warm,low,light,"[False, False, False, False, False]",Start at 03:27 am,[]
wash with delicate mode,"[[['delicate'], ['mode']]]",[],delicates,warm,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash my ninon t-shirt,"[[['wash'], ['t-shirt']], [['ninon'], ['t-shirt']]]",[],delicates,warm,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash this chiffon with cold water.,"[[['wash'], ['chiffon']], [['cold'], ['water']], [['wash'], ['cold', 'water', 'chiffon']]]",[],delicates,cold,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
wash his moire shirt and use very light soil level. ,"[[['wash'], ['moire', 'shirt']], [['use'], ['soil', 'level']], [['moire', 'shirt'], []], [['soil', 'level'], ['light']], [['very'], ['light']], [['light'], ['level']]]",[],delicates,warm,medium,light,"[False, False, False, False, False]",Start at 03:27 am,[]
lock all controls and mute any sound while washing the clothes in delicate cycle.,"[[['lock'], ['control']], [['mute'], ['sound']], [['wash'], ['clothes']], [['delicate'], ['cycle']], [['wash'], ['delicate', 'cycle', 'clothes']]]",[],delicates,warm,medium,medium,"[False, False, False, True, True]",Start at 03:27 am,[]
wash this blouse with warm water using delicate mode.,"[[['wash'], ['blouse']], [['use'], ['mode']], [['warm'], ['water']], [['delicate'], ['mode']], [['wash'], ['warm', 'water', 'blouse']]]",[],delicates,warm,medium,medium,"[False, False, False, False, False]",Start at 03:27 am,[]
